title,view,like,unlike,comment,date,comment_text,label
헬스장 열 때까지 협곡에서 운동할게요,475608,6000,134,1403,2021.1.11,그래서 이 형 티어 어디임 이게 웃긴데  여러분 견갑골은 이렇게 닫아야 해요 전설의 쌉소리장인 ,1
[4K] 롤붕 형아랑 가슴 운동할까,179700,2000,36,558,2021.3.27,코뚱이가 바벨 만지니까 바벨도 헤으응이러네 플랫벤치 최소셋 덤벨프레스 최소 셋 친업턱걸이 세트 해머컬 세트 보조운동이두삼두 하고싶은디로 속보 인스타 스토리로 대 찍어 온 국민이 쌀뻔 개멋져 여기가 그 홀스킹한테 패배하고 운동유튜버로 전향한 코왕입니까 ,2
페이커님 꼭 봐주세요,1387952,2000,409,6250,2020.8.18,그래서 계란님 티어가 와 그래서 숙소에 초 절 정 스미스머신이 있구나 경험자로써 댓글적습니다 하루에 평균시간씩 게임하는 프로게이머 기준으로 시간씩 운동꾸준히 해주면 게임할때 집중이 더잘됩니다 결론 휴식도 좋지만 하루 한시간씩만 시간내서 기본운동만 해줘도 게임할때 더 집중을잘할수있다  운동을 하면 편집 집중력도 늘어나는거죠 ,1
도구도 인권이 있다,174941,2000,43,1026,2021.2.5,도구가 말을하네 대 이상만 듀오가능 핑 찍을 때 마다 대흉근 꼼지락 거리는거 웃기네 지리스타 지렸다 와 이 각을봐 진짜 다이아는 다야네 ,1
똥손대결 투표해주세요오^^,61872,676,22,122,2021.3.10,전신을 단련하느라 손재주를 잃었습니다 솔직히 나 진짜 한 대 맞은 메이크업이다 진심으로 투표부탁드립니다 솔직히 저 두분 쌩얼이 너무 이뻐서 똥손이 될 수 밖에없다 화장을 공들일 이유가 없자나 아영님 저 특유의 경박한듯한 말투 너무 웃김 ,0
몸짱들이 사복을 입으면 핏이 정말 좋을까,175536,1500,23,449,2020.12.19, 등은 지피티로 하겠습니다 떼아가 등인걸로 년은 청양고추룩이 무조건 유행이야 지기님 미니멀 아모띠님 밀리터리 영범님 클래식 까로님 펑크 다채롭게 다 잘어울리시는거 같습니다 ,0
이러니까 인스타랑 똑같은데요 [왓츠인마이백/What's in my bag],114632,1100,20,174,2021.1.5,괴물쥐와 수야의 공통점 현재 장기휴방 중 롤 시즌 시작날 복귀 선언 얼굴의 를 차지하고 있는 묵직한 코 수야는 코경 하나 맞추자 스카프 따로였어 너무 잘 꾸며놔서 원래 세트인 줄 스카프 진짜 이쁘다 당신이 더 귀여워 뻘하게 웃기네 ,0
유소나] 소나의 애정하는 화장품 공개 치약부터 바디까지 이거 진짜 좋아요 (feat시드물 ),102498,841,46,63,2017.6.28,시드몰 주식샀녜 많이 갸름해지셨내요 시드물 사장님 보고 계신가요 오늘바도 귀엽고 낼바도 귀엽고 소나야 티 좀 많이 났다 ,0
sub) 게임만 10년한 남자의 -30kg 다이어트  -30kg DIET,2659985,14000,367,2221,2020.4.22,여러분 저는 이제 시작입니다 끝이아니고 이제 시작할수있다는게 너무 행복하네요 이마음을 가지는데 년이 넘게 걸렸네요 항상 부족하지만 포기안하고 응원해주셔서 감사합니다 오늘보다 더 나은 내일을위해 열심히 살겠습니다모두 파이팅 형 그거알아 아직도 청소년 사이에서 서든얘기나오면 랜딩 은 꼭나오더라 이미 모두에게 추억과 재미를 각인시켜놓은거지 그거 알아 형은 이미 성공했어 댓글들 봐바 근데 형은 이거보다 훨씬 더 성공할거야 내가 알아 그냥 무조건 남자분들은 운동하세요몸이 좋아지면 좋아질수록 자신감 자존감이 올라갑니다그냥 무조건 하세요 그냥 아무말 없이 그냥 운동 하세요물론 몸 좋다고 껄렁껄렁 대시지 마시고 더 겸손해지시면 대부분 대단하다고 할껍니다 랜딩형 포기하지 않고 버텨줘서 고마워 ,2
[4K] 3대 660 현실 드레이븐 가벼운 가슴 운동,852204,5400,100,1120,2020.10.26,풀템잭스 무섭다 드레이븐이 왜 소환사님 말을 잘듣는지 알겠네요 급하신분들 이것만 보고 가시면됩니다 멋져  ,2
헬창이 되고싶었던 한 오이의 도전,198341,2000,22,295,2021.2.23,한미 연합군에 대항하기위해 훈련중인 과로사 로사는 진심으로 열심히 하니까 보기 좋다 암컷의 자세 포탄 장전을 하는 군인 미군과의 마지막 전투를 위해 알라신에게 기도 하는 테러범 ,2
3대 660한테 정치질이 통하겠냐,621514,7000,221,1703,2021.1.16,야 누가 이 형 헬스장 보내줘라 쫌 모 컽 조이 형은 운동만해 레전드 어째 운동방송보다 더 재밌냐 여자들이 남자의 본 모습을 알고 싶으면 게임을 같이 해보라는 글을 봤는데 맞는 말인것 같습니다 형님 ,1
'롤'하면 다른 인격이 나오는 남자,275437,2500,50,618,2021.3.2,저녁식사중 최고의 지원사격 우리한텐 브이로그가 필요해 급식이나 어른이나 하는짓은 똑같음 랄로를 보고있던 말왕  ,1
헬스장 PT 아르바이트트레이너가 무슨 일을 하는지 알아보자 시급 10000원 [테스터훈],281176,2400,76,448,2019.9.15,오빠 이제 진짜 운동 좀 하자 알바훈이 아니라 헬스훈 컨텐츠 하나 만들어야겠네 형이렇게 몸이 컸었나 일어나있는거보니까 개크다 저 안마기 멈추는거 겁나게 웃기네원래 안 멈추지않나 돌아온 아르바이트훈 시즌 테스터훈의 다음 아르바이트는 어디로 갈지 기대 많이 해주세요 직접 찾아갑니다 영상 재밌게 보셨다면 좋아요 구독하기 알람설정 레츠기릿 ,2
SNS 셀카용 청순메이크업 도전기 (메알못 팁),21813,224,8,34,2018.10.29,셀카어플은 입니다 메알못이지만 인스타그램에서 많이 물어봐주셔서 올려봐요 여러분이 궁금해하시는 건 다 들고오는 제이제이 언니 넘 예뽀요 혹시 처지고 벌어진 가슴 운동법 좀 알려주실 수 있나요 그리고 급하게 빼서 처진 뱃살 복구법도요 너무 스트레스예요 특히 가슴 피부가 워낙 좋으셔서 화장 안해도 이쁘세요 화장 하나 안하나 예쁘세요 메컵동영상 잘 봤어요 화장자연스럽게 잘하세요 무슨 카메라 어플 쓰세요 ,0
